,id,name
0,11,Creche - Menor de 1 ano
1,12,Creche - 1 ano
2,13,Creche - 2 anos
3,14,Creche - 3 anos
4,21,Pré-escola - 4 anos
5,22,Pré-escola - 5 anos
6,31,Ens. Fundamental - 1º Ano
7,32,Ens. Fundamental - 1ª série/2º ano
8,33,Ens. Fundamental - 2ª série/3º ano
9,34,Ens. Fundamental - 3ª série/4º ano
10,35,Ens. Fundamental - 4ª série/5º Ano
11,41,Ens. Fundamental - 5ª série/6º ano
12,42,Ens. Fundamental - 6ª série/7º ano
13,43,Ens. Fundamental - 7ª série/8º ano
14,44,Ens. Fundamental - 8ª serie/9º ano
15,51,Ens. Médio - 1ª série
16,52,Ens. Médio - 2ª série
17,53,Ens. Médio - 3ª série
18,54,Ens. Médio - 4ª série
19,61,EJA - anos iniciais do Ens. Fundamental
20,62,EJA - anos finais do Ens. Fundamental
21,63,EJA - Ensino Médio
22,64,EJA semi-presencial
23,71,Educação Profissional
