,total,year,region_name,region_id
0,3678340,2007,Centro-Oeste,5
1,16702833,2007,Nordeste,2
2,5164399,2007,Norte,1
3,20576149,2007,Sudeste,3
4,6907207,2007,Sul,4
5,3698012,2008,Centro-Oeste,5
6,16619605,2008,Nordeste,2
7,5153550,2008,Norte,1
8,20900689,2008,Sudeste,3
9,6861012,2008,Sul,4
10,3684018,2009,Centro-Oeste,5
11,16339661,2009,Nordeste,2
12,5177584,2009,Norte,1
13,20617965,2009,Sudeste,3
14,6761224,2009,Sul,4
15,3670674,2010,Centro-Oeste,5
16,15709861,2010,Nordeste,2
17,5134960,2010,Norte,1
18,20334290,2010,Sudeste,3
19,6700104,2010,Sul,4
20,3663805,2011,Centro-Oeste,5
21,15470148,2011,Nordeste,2
22,5121317,2011,Norte,1
23,20120683,2011,Sudeste,3
24,6596666,2011,Sul,4
25,3647488,2012,Centro-Oeste,5
26,15227827,2012,Nordeste,2
27,5159675,2012,Norte,1
28,19958462,2012,Sudeste,3
29,6551598,2012,Sul,4
30,3638417,2013,Centro-Oeste,5
31,14968836,2013,Nordeste,2
32,5144488,2013,Norte,1
33,19806604,2013,Sudeste,3
34,6484103,2013,Sul,4
35,3654528,2014,Centro-Oeste,5
36,14806714,2014,Nordeste,2
37,5131557,2014,Norte,1
38,19705590,2014,Sudeste,3
39,6472982,2014,Sul,4
40,3644924,2015,Centro-Oeste,5
41,14405392,2015,Nordeste,2
42,5071784,2015,Norte,1
43,19236902,2015,Sudeste,3
44,6437510,2015,Sul,4
45,3643646,2016,Centro-Oeste,5
46,14325245,2016,Nordeste,2
47,5030223,2016,Norte,1
48,19350189,2016,Sudeste,3
49,6468176,2016,Sul,4
50,3639987,2017,Centro-Oeste,5
51,14338627,2017,Nordeste,2
52,5010901,2017,Norte,1
53,19144341,2017,Sudeste,3
54,6474237,2017,Sul,4
55,3670932,2018,Centro-Oeste,5
56,14213442,2018,Nordeste,2
57,4992490,2018,Norte,1
58,19074940,2018,Sudeste,3
59,6504063,2018,Sul,4
