,total,year,state_id,state_name
0,0.0,1991,12,Acre
1,0.0,2000,12,Acre
2,0.663,2010,12,Acre
3,0.517,2000,12,Acre
4,0.402,1991,12,Acre
5,0.471,2000,27,Alagoas
6,0.631,2010,27,Alagoas
7,0.37,1991,27,Alagoas
8,0.472,1991,16,Amapá
9,0.577,2000,16,Amapá
10,0.708,2010,16,Amapá
11,0.43,1991,13,Amazonas
12,0.515,2000,13,Amazonas
13,0.674,2010,13,Amazonas
14,0.66,2010,29,Bahia
15,0.512,2000,29,Bahia
16,0.386,1991,29,Bahia
17,0.541,2000,23,Ceará
18,0.405,1991,23,Ceará
19,0.682,2010,23,Ceará
20,0.616,1991,53,Distrito Federal
21,0.824,2010,53,Distrito Federal
22,0.725,2000,53,Distrito Federal
23,0.505,1991,32,Espírito Santo
24,0.74,2010,32,Espírito Santo
25,0.64,2000,32,Espírito Santo
26,0.615,2000,52,Goiás
27,0.487,1991,52,Goiás
28,0.735,2010,52,Goiás
29,0.357,1991,21,Maranhão
30,0.639,2010,21,Maranhão
31,0.476,2000,21,Maranhão
32,0.449,1991,51,Mato Grosso
33,0.725,2010,51,Mato Grosso
34,0.601,2000,51,Mato Grosso
35,0.488,1991,50,Mato Grosso do Sul
36,0.729,2010,50,Mato Grosso do Sul
37,0.613,2000,50,Mato Grosso do Sul
38,0.731,2010,31,Minas Gerais
39,0.478,1991,31,Minas Gerais
40,0.624,2000,31,Minas Gerais
41,0.749,2010,41,Paraná
42,0.507,1991,41,Paraná
43,0.65,2000,41,Paraná
44,0.382,1991,25,Paraíba
45,0.658,2010,25,Paraíba
46,0.506,2000,25,Paraíba
47,0.413,1991,15,Pará
48,0.646,2010,15,Pará
49,0.518,2000,15,Pará
50,0.44,1991,26,Pernambuco
51,0.673,2010,26,Pernambuco
52,0.544,2000,26,Pernambuco
53,0.646,2010,22,Piauí
54,0.484,2000,22,Piauí
55,0.362,1991,22,Piauí
56,0.684,2010,24,Rio Grande do Norte
57,0.428,1991,24,Rio Grande do Norte
58,0.552,2000,24,Rio Grande do Norte
59,0.664,2000,43,Rio Grande do Sul
60,0.542,1991,43,Rio Grande do Sul
61,0.746,2010,43,Rio Grande do Sul
62,0.664,2000,33,Rio de Janeiro 
63,0.573,1991,33,Rio de Janeiro 
64,0.761,2010,33,Rio de Janeiro 
65,0.407,1991,11,Rondônia
66,0.537,2000,11,Rondônia
67,0.69,2010,11,Rondônia
68,0.598,2000,14,Roraima
69,0.459,1991,14,Roraima
70,0.707,2010,14,Roraima
71,0.674,2000,42,Santa Catarina
72,0.774,2010,42,Santa Catarina
73,0.543,1991,42,Santa Catarina
74,0.408,1991,28,Sergipe
75,0.665,2010,28,Sergipe
76,0.518,2000,28,Sergipe
77,0.578,1991,35,São Paulo
78,0.702,2000,35,São Paulo
79,0.783,2010,35,São Paulo
80,0.525,2000,17,Tocantins
81,0.369,1991,17,Tocantins
82,0.699,2010,17,Tocantins
