,id,region_id,name,abbreviation,longitude,latitude
0,11,1,Rondônia,RO,-63.8314456543611,-8.76889179
1,12,1,Acre,AC,-67.8105287004235,-9.97829875272498
2,13,1,Amazonas,AM,-60.023335181061,-3.13469149120195
3,14,1,Roraima,RR,-60.6705326729651,2.81668191910439
4,15,1,Pará,PA,-48.4878256874876,-1.459845
5,16,1,Amapá,AP,-51.057405457036,0.03895101
6,17,1,Tocantins,TO,-48.3510437082462,-10.1632533267928
7,21,2,Maranhão,MA,-44.2979185642444,-2.53188598508339
8,22,2,Piauí,PI,-42.8052704582233,-5.0863419523217
9,23,2,Ceará,CE,-38.5899275550432,-3.723805035
10,24,2,Rio Grande do Norte,RN,-35.2522547280543,-5.75089853761206
11,25,2,Paraíba,PB,-34.8733848135386,-7.14938202
12,26,2,Pernambuco,PE,-34.8889419445777,-8.06276248305241
13,27,2,Alagoas,AL,-35.7016299134895,-9.66082215163114
14,28,2,Sergipe,SE,-37.0482126395123,-10.9072157978835
15,29,2,Bahia,BA,-38.4880614840079,-13.0147719115328
16,31,3,Minas Gerais,MG,-43.9264531735305,-19.9375242937751
17,32,3,Espírito Santo,ES,-40.3222087267266,-20.3201537928533
18,33,3,Rio de Janeiro,RJ,-43.2278751249952,-22.8766521181865
19,35,3,São Paulo,SP,-46.5703831821128,-23.5673865
20,41,4,Paraná,PR,-49.2718478850774,-25.432956
21,42,4,Santa Catarina,SC,-48.5476373781933,-27.58779554855
22,43,4,Rio Grande do Sul,RS,-51.2286604637023,-30.0300367747664
23,50,5,Mato Grosso do Sul,MS,-54.6157435664588,-20.4580299878639
24,51,5,Mato Grosso,MT,-56.0732520381911,-15.5699890131206
25,52,5,Goiás,GO,-49.2558142758158,-16.6733097738389
26,53,5,Distrito Federal,DF,-47.8879054780313,-15.794087361891
